mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF667759,"3379 Andover St, San Francisco, CA",1825000,2,3.0,2600,Single Family,Modern Farmhouse,Bernal Heights,San Francisco Unified School District,Cesar Chavez Elementary,James Lick Middle School,John O'Connell High School,"Exceptional Modern Farmhouse 2BD/3.0BA in coveted Bernal Heights. Spanning 2,600 sq ft, this sun-drenched home features updated kitchen with gas range and subway tile backsplash, gleaming hardwood floors, and an expansive yard. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: in-unit laundry closet, EV-ready garage, formal dining room, and a gas fireplace for cool SF evenings. Situated on a quiet tree-lined block in Bernal Heights — tight-knit hilltop community with stunning panoramic views. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF902097,"3783 Minnesota St, San Francisco, CA",1025000,2,3.0,1450,Condo,Victorian,Dogpatch,San Francisco Unified School District,Daniel Webster Elementary,Hoover Middle School,City Arts & Tech High School,"Welcome to unit #12C — a light-filled 2BD/3.0BA residence in one of Dogpatch's most desirable buildings. At 1,450 sq ft, this victorian condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and wide-plank white oak floors. Amenities include a rooftop terrace and club room. Dedicated laundry room, 2-car garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF402417,"3726 Brompton Ave #19C, San Francisco, CA",925000,3,3.5,1800,Condo,Edwardian,Glen Park,San Francisco Unified School District,Glen Park Elementary,Aptos Middle School,Abraham Lincoln High School,"Sophisticated 3BD/3.5BA edwardian condo in the heart of Glen Park. This sun-drenched 1,800 sq ft residence features designer kitchen with integrated appliances and pantry, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit laundry closet, 2-car garage, and a sunny deck round out this exceptional offering. Enjoy breathtaking garden views from the living areas and primary suite. Walk to Glen Park's best dining and boutiques.",Garden View
SF317062,"3273 California St #15, San Francisco, CA",1475000,1,2.0,1700,Condo,High-Rise,Financial District,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,City Arts & Tech High School,"Sophisticated 1BD/2.0BA high-rise condo in the heart of Financial District. This luminous 1,700 sq ft residence features chef's kitchen with Carrara marble countertops and stainless appliances, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit washer/dryer, EV-ready garage, and a sunny deck round out this exceptional offering. Enjoy breathtaking bay views from the living areas and primary suite. Walk to Financial District's best dining and boutiques.",Bay View
SF253075,"1401 Dewey Blvd #8C, San Francisco, CA",2100000,2,3.0,1650,Townhouse,Craftsman,Forest Hill,San Francisco Unified School District,West Portal Elementary,Hoover Middle School,Abraham Lincoln High School,"Exceptional end-unit Craftsman townhouse in the heart of Forest Hill. 2 bedrooms, 3.0 baths, 1,650 sq ft. Designed for modern living with fully remodeled kitchen with custom cabinetry and quartz countertops, open-plan great room, and a wrap-around deck. Generous primary suite with ensuite bath and custom built-ins. Deeded parking, dedicated laundry room, smart home features throughout. Enjoy breathtaking city views from the living areas and primary suite. Walk to Forest Hill's acclaimed boutiques, cafés, and transit.",City View
SF805983,"2618 2nd St #28A, San Francisco, CA",900000,1,2.0,1050,Condo,Art Deco,SOMA,San Francisco Unified School District,Bessie Carmichael Elementary,Hoover Middle School,City Arts & Tech High School,"Modern living in the vibrant SOMA neighborhood. This sleek 1BD/2.0BA art deco condo (1,050 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and an expansive yard. Bright and airy throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. Washer/dryer hookups and EV-ready garage included. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF927614,"3450 Valencia St, San Francisco, CA",1100000,1,1.5,1400,Condo,Mid-Century Modern,Mission District,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,John O'Connell High School,"Modern living in the vibrant Mission District neighborhood. This sleek 1BD/1.5BA mid-century modern condo (1,400 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a private rear garden. Bright and airy throughout with skylights in the primary bath. Building features concierge, fitness center, and guest suite. In-unit washer/dryer and EV-ready garage included. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF390955,"259 14th St #8C, San Francisco, CA",1675000,2,2.0,700,Condo,Mid-Century Modern,Duboce Triangle,San Francisco Unified School District,Harvey Milk Civil Rights Academy,James Lick Middle School,Mission High School,"Welcome to unit #2D — a sun-drenched 2BD/2.0BA residence in one of Duboce Triangle's most desirable buildings. At 700 sq ft, this mid-century modern condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and wide-plank white oak floors. Amenities include bike storage and package room. In-unit laundry closet, 2-car garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF631935,"1407 Bosworth St #18B, San Francisco, CA",2375000,4,5.0,2300,Single Family,Mid-Century Modern,Glen Park,San Francisco Unified School District,Glen Park Elementary,Aptos Middle School,Mission High School,"Rare opportunity to own a meticulously restored Mid-Century Modern in Glen Park. This 4-bed, 5.0-bath home (2,300 sq ft) balances period character with modern updates. The designer kitchen with integrated appliances and pantry leads to a charming Juliet balcony, ideal for entertaining. Upstairs, the sun-soaked primary bedroom features vaulted ceilings. Original hardwood floors throughout. 1-car garage and in-unit laundry closet. Enjoy breathtaking city views from the living areas and primary suite. Glen Park is celebrated for tucked-away village with canyon trails and strong neighborhood identity — this home delivers it all.",City View
SF320507,"3228 Army St #6A, San Francisco, CA",2625000,3,3.5,2000,Single Family,Craftsman,Mission District,San Francisco Unified School District,Fairmount Elementary,Everett Middle School,John O'Connell High School,"Welcome to this stunning Craftsman home nestled in the heart of Mission District. This bright and airy 3-bedroom, 3.5-bath residence offers 2,000 sq ft of thoughtfully designed living space. The gourmet kitchen with waterfall island and wine refrigerator anchors the main floor, opening to a landscaped patio. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Bright and airy primary suite with spa bath. Dedicated laundry room and 2-car garage complete the package. Steps from Mission District's farmers market and boutiques.",None
SF794214,"1576 Pierce St #18A, San Francisco, CA",1650000,3,3.5,1550,Townhouse,Edwardian,Lower Haight,San Francisco Unified School District,John Muir Elementary,Presidio Middle School,Mission High School,"Stunning 3BD/3.5BA Edwardian townhouse in Lower Haight — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,550 sq ft across four levels, this luminous residence features fully remodeled kitchen with custom cabinetry and quartz countertops, a private rooftop deck, and 1-car garage. Open living/dining on the main level flows to a shared roof deck with panoramic views. The primary suite occupies its own floor with an ensuite bath and private terrace. Dedicated laundry room on bedroom level.",None
SF440310,"2311 Dolores St #8B, San Francisco, CA",1450000,4,4.5,4200,Multi Family,Mid-Century Modern,Mission District,San Francisco Unified School District,Daniel Webster Elementary,Everett Middle School,John O'Connell High School,"Investor special or perfect for multigenerational living — a fully updated Mid-Century Modern duplex in sought-after Mission District. 4 bedrooms and 4.5 baths across 4,200 sq ft. Both units feature spacious living areas, updated baths, and abundant storage. Ev-ready garage, separate utilities, and a shared rear garden. Trophy Mission District address with strong cap rate potential. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF515559,"2327 Folsom St, San Francisco, CA",1475000,4,4.5,1950,Townhouse,Contemporary,SOMA,San Francisco Unified School District,Mira Loma Elementary,Hoover Middle School,City Arts & Tech High School,"Exceptional end-unit Contemporary townhouse in the heart of SOMA. 4 bedrooms, 4.5 baths, 1,950 sq ft. Designed for modern living with bright eat-in kitchen with breakfast nook and garden window, open-plan great room, and a charming Juliet balcony. Generous primary suite with spa bath and walk-in closet. 1-car parking, in-unit washer/dryer, smart home features throughout. Enjoy breathtaking bay views from the living areas and primary suite. Walk to SOMA's acclaimed farmers market and green spaces.",Bay View
SF576102,"2564 Balboa St, San Francisco, CA",1700000,2,3.0,3550,Single Family,Ranch,Outer Richmond,San Francisco Unified School District,Francis Scott Key Elementary,Hoover Middle School,Abraham Lincoln High School,"Welcome to this stunning Ranch home nestled in the heart of Outer Richmond. This naturally lit 2-bedroom, 3.0-bath residence offers 3,550 sq ft of thoughtfully designed living space. The fully remodeled kitchen with custom cabinetry and quartz countertops anchors the main floor, opening to a landscaped patio. Original architectural details — including original fireplace mantel and picture rails — have been lovingly preserved. Naturally lit primary suite with spa bath. Dedicated laundry room and 2-car garage complete the package. Steps from Outer Richmond's acclaimed restaurants and transit.",None
SF544893,"514 Texas St, San Francisco, CA",1300000,4,5.0,1900,Multi Family,Victorian,Potrero Hill,San Francisco Unified School District,Bryant Elementary,Hoover Middle School,Mission High School,"Investor special or perfect for multigenerational living — a fully updated Victorian duplex in sought-after Potrero Hill. 4 bedrooms and 5.0 baths across 1,900 sq ft. Both units feature spacious living areas, updated baths, and abundant storage. 1-car garage, separate utilities, and a shared rear garden. Trophy Potrero Hill address with strong cap rate potential. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF367685,"3948 Washington St, San Francisco, CA",2800000,2,2.0,2750,Single Family,Tudor,Pacific Heights,San Francisco Unified School District,Sherman Elementary,Presidio Middle School,George Washington High School,"Exceptional Tudor 2BD/2.0BA in coveted Pacific Heights. Spanning 2,750 sq ft, this luminous home features fully remodeled kitchen with custom cabinetry and quartz countertops, gleaming hardwood floors, and a landscaped patio. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: in-unit washer/dryer, EV-ready garage, formal dining room, and a gas fireplace for cool SF evenings. Situated on a wide flat lot in Pacific Heights — prestigious neighborhood with grand Victorians and sweeping bay views. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF963240,"3329 Lyon St, San Francisco, CA",2425000,1,2.0,750,Condo,Art Deco,Pacific Heights,San Francisco Unified School District,McKinley Elementary,Presidio Middle School,George Washington High School,"Welcome to unit #15A — a bright and airy 1BD/2.0BA residence in one of Pacific Heights's most desirable buildings. At 750 sq ft, this art deco condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include a fitness center and concierge. Dedicated laundry room, 2-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF997728,"3694 Noe St, San Francisco, CA",1925000,2,2.5,1550,Townhouse,Modern,Castro,San Francisco Unified School District,Sanchez Elementary,James Lick Middle School,Abraham Lincoln High School,"Exceptional end-unit Modern townhouse in the heart of Castro. 2 bedrooms, 2.5 baths, 1,550 sq ft. Designed for modern living with fully remodeled kitchen with custom cabinetry and quartz countertops, open-plan great room, and a shared roof deck with panoramic views. Generous primary suite with dual vanity bath and closet. Deeded parking, washer/dryer hookups, smart home features throughout. Walk to Castro's acclaimed boutiques, cafés, and transit.",None
SF492975,"820 Kearny St, San Francisco, CA",1450000,4,5.0,3800,Single Family,Victorian,North Beach,San Francisco Unified School District,Jean Parker Elementary,Francisco Middle School,Galileo High School,"Rare opportunity to own a meticulously restored Victorian in North Beach. This 4-bed, 5.0-bath home (3,800 sq ft) balances period character with modern updates. The chef's kitchen with Carrara marble countertops and stainless appliances leads to a charming Juliet balcony, ideal for entertaining. Upstairs, the sun-soaked primary bedroom features period windows. Original fir floors throughout. Deeded parking and in-unit laundry closet. Enjoy breathtaking bay views from the living areas and primary suite. North Beach is celebrated for historic Italian neighborhood with celebrated cafés and steps to Washington Square Park — this home delivers it all.",Bay View
SF997805,"114 Dewey Blvd, San Francisco, CA",2600000,3,3.0,2700,Single Family,Modern Farmhouse,Forest Hill,San Francisco Unified School District,West Portal Elementary,Hoover Middle School,Abraham Lincoln High School,"Rare opportunity to own a meticulously restored Modern Farmhouse in Forest Hill. This 3-bed, 3.0-bath home (2,700 sq ft) balances period character with modern updates. The fully remodeled kitchen with custom cabinetry and quartz countertops leads to a landscaped patio, ideal for entertaining. Upstairs, the bright and airy primary bedroom features period windows. Original oak floors throughout. 1-car garage and dedicated laundry room. Enjoy breathtaking city views from the living areas and primary suite. Forest Hill is celebrated for serene, wooded enclave with large homes and a private community association — this home delivers it all.",City View
SF341616,"2608 Spear St, San Francisco, CA",900000,1,1.0,650,Condo,Art Deco,Financial District,San Francisco Unified School District,Garfield Elementary,Marina Middle School,Galileo High School,"Welcome to unit #10C — a sun-soaked 1BD/1.0BA residence in one of Financial District's most desirable buildings. At 650 sq ft, this art deco condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and polished concrete floors. Amenities include a rooftop lounge. Dedicated laundry room, tandem garage. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF720145,"515 Jones St, San Francisco, CA",1000000,0,1.0,1000,Condo,Edwardian,Nob Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,City Arts & Tech High School,"Sophisticated 0BD/1.0BA edwardian condo in the heart of Nob Hill. This luminous 1,000 sq ft residence features updated kitchen with gas range and subway tile backsplash, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, 2-car garage, and a landscaped patio round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Nob Hill's Michelin-starred restaurants and nightlife.",City View
SF844238,"3007 3rd St, San Francisco, CA",675000,3,4.0,1950,Townhouse,Modern,Bayview,San Francisco Unified School District,Martin Luther King Jr. Elementary,Hoover Middle School,Balboa High School,"Exceptional end-unit Modern townhouse in the heart of Bayview. 3 bedrooms, 4.0 baths, 1,950 sq ft. Designed for modern living with updated kitchen with gas range and subway tile backsplash, open-plan great room, and a sunny deck. Generous primary suite with dual vanity bath and closet. 1-car garage, dedicated laundry room, smart home features throughout. Enjoy breathtaking city views from the living areas and primary suite. Walk to Bayview's acclaimed boutiques, cafés, and transit.",City View
SF144146,"2386 Marina Blvd, San Francisco, CA",1975000,4,4.0,1700,Single Family,Edwardian,Marina,San Francisco Unified School District,Sherman Elementary,Marina Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Edwardian in Marina. This 4-bed, 4.0-bath home (1,700 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a wrap-around deck, ideal for entertaining. Upstairs, the sun-soaked primary bedroom features vaulted ceilings. Original oak floors throughout. Ev-ready garage and in-unit washer/dryer. Enjoy breathtaking bay views from the living areas and primary suite. Marina is celebrated for lively, upscale neighborhood with waterfront access and boutique shopping — this home delivers it all.",Bay View
SF375957,"3208 9th Ave, San Francisco, CA",2775000,3,4.0,2850,Single Family,Craftsman,Inner Sunset,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Abraham Lincoln High School,"Rare opportunity to own a meticulously restored Craftsman in Inner Sunset. This 3-bed, 4.0-bath home (2,850 sq ft) balances period character with modern updates. The chef's kitchen with Carrara marble countertops and stainless appliances leads to a landscaped patio, ideal for entertaining. Upstairs, the luminous primary bedroom features period windows. Original fir floors throughout. Tandem garage and in-unit washer/dryer. Enjoy breathtaking garden views from the living areas and primary suite. Inner Sunset is celebrated for laid-back neighborhood with great restaurants and quick park access — this home delivers it all.",Garden View
SF687711,"380 Noriega St, San Francisco, CA",700000,2,3.0,600,Condo,Art Deco,Outer Sunset,San Francisco Unified School District,Sunset Elementary,Aptos Middle School,George Washington High School,"Sophisticated 2BD/3.0BA art deco condo in the heart of Outer Sunset. This sun-soaked 600 sq ft residence features gourmet kitchen with waterfall island and wine refrigerator, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. Washer/dryer hookups, 1-car parking, and a charming Juliet balcony round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Outer Sunset's best dining and boutiques.",City View
SF121783,"797 8th Ave, San Francisco, CA",2025000,3,4.5,2050,Townhouse,Modern,Inner Richmond,San Francisco Unified School District,Argonne Elementary,Roosevelt Middle School,George Washington High School,"Stunning 3BD/4.5BA Modern townhouse in Inner Richmond — the best of both worlds: the space of a home with the ease of condo living. Spanning 2,050 sq ft across four levels, this bright and airy residence features updated kitchen with gas range and subway tile backsplash, a private rooftop deck, and EV-ready garage. Open living/dining on the main level flows to a charming Juliet balcony. The primary suite occupies its own floor with a soaking tub and dual walk-in closets. In-unit laundry closet on bedroom level. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF587888,"1796 8th Ave #6, San Francisco, CA",1600000,2,3.0,1350,Condo,Contemporary,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Presidio Middle School,George Washington High School,"Modern living in the vibrant Inner Richmond neighborhood. This sleek 2BD/3.0BA contemporary condo (1,350 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a rooftop terrace. Sun-drenched throughout with oversized windows flooding rooms with natural light. Building features secure entry, elevator, and bike room. Dedicated laundry room and deeded parking included. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF891115,"1704 Naples St, San Francisco, CA",1075000,5,5.0,3700,Single Family,Edwardian,Excelsior,San Francisco Unified School District,Guadalupe Elementary,Aptos Middle School,John O'Connell High School,"Welcome to this stunning Edwardian home nestled in the heart of Excelsior. This bright and airy 5-bedroom, 5.0-bath residence offers 3,700 sq ft of thoughtfully designed living space soaking in city views. The bright eat-in kitchen with breakfast nook and garden window anchors the main floor, opening to a wrap-around deck. Original architectural details — including period moldings and hardwood floors — have been lovingly preserved. Bright and airy primary suite with spa bath. In-unit washer/dryer and 1-car garage complete the package. Enjoy breathtaking city views from the living areas and primary suite. Steps from Excelsior's best cafés and parks.",City View
SF337649,"93 Fulton St, San Francisco, CA",2175000,3,4.0,1600,Single Family,Edwardian,Outer Richmond,San Francisco Unified School District,Francis Scott Key Elementary,Hoover Middle School,George Washington High School,"Exceptional Edwardian 3BD/4.0BA in coveted Outer Richmond. Spanning 1,600 sq ft, this sun-drenched home features designer kitchen with integrated appliances and pantry, gleaming hardwood floors, and a private rear garden. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit washer/dryer, 2-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a wide flat lot in Outer Richmond — quiet, foggy residential neighborhood near Ocean Beach.",None
SF131815,"1439 Sanchez St, San Francisco, CA",1900000,5,5.0,2500,Single Family,Modern Farmhouse,Duboce Triangle,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Everett Middle School,Abraham Lincoln High School,"Exceptional Modern Farmhouse 5BD/5.0BA in coveted Duboce Triangle. Spanning 2,500 sq ft, this sun-soaked home features designer kitchen with integrated appliances and pantry, gleaming hardwood floors, and a rooftop terrace. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: dedicated laundry room, 2-car garage, formal dining room, and a statement fireplace in the living room. Situated on a quiet tree-lined block in Duboce Triangle — centrally located, leafy neighborhood popular with young professionals. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF652953,"1167 20th St #15A, San Francisco, CA",2575000,4,5.0,3450,Single Family,Modern Farmhouse,Potrero Hill,San Francisco Unified School District,Bryant Elementary,James Lick Middle School,Mission High School,"Exceptional Modern Farmhouse 4BD/5.0BA in coveted Potrero Hill. Spanning 3,450 sq ft, this sun-soaked home features gourmet kitchen with waterfall island and wine refrigerator, gleaming hardwood floors, and a sunny deck. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: in-unit washer/dryer, deeded parking, formal dining room, and a gas fireplace for cool SF evenings. Situated on a premium block in Potrero Hill — sunny micro-climate hill with artsy studios and city skyline views. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF297382,"3488 Divisadero St #12, San Francisco, CA",1750000,3,4.0,1350,Condo,Contemporary,Marina,San Francisco Unified School District,Sherman Elementary,Marina Middle School,Galileo High School,"Modern living in the vibrant Marina neighborhood. This sleek 3BD/4.0BA contemporary condo (1,350 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a charming Juliet balcony. Sun-soaked throughout with double-pane windows for sound insulation. Building features gym, rooftop, and storage. Washer/dryer hookups and EV-ready garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF844669,"1713 Valencia St, San Francisco, CA",2275000,4,5.0,3500,Multi Family,Contemporary,Mission District,San Francisco Unified School District,Cesar Chavez Elementary,Everett Middle School,John O'Connell High School,"Investor special or perfect for multigenerational living — a fully updated Contemporary triplex in sought-after Mission District. 4 bedrooms and 5.0 baths across 3,500 sq ft. Both units feature modern kitchens, hardwood floors, and separate entrances. 1-car parking, separate utilities, and a generous garage with storage. Trophy Mission District address with strong cap rate potential. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF398534,"2282 Irving St, San Francisco, CA",1300000,2,2.5,1700,Townhouse,Edwardian,Inner Sunset,San Francisco Unified School District,Clarendon Elementary,Aptos Middle School,Galileo High School,"Exceptional end-unit Edwardian townhouse in the heart of Inner Sunset. 2 bedrooms, 2.5 baths, 1,700 sq ft. Designed for modern living with chef's kitchen with Carrara marble countertops and stainless appliances, open-plan great room, and a sunny deck. Generous primary suite with dual vanity bath and closet. Deeded parking, washer/dryer hookups, smart home features throughout. Walk to Inner Sunset's acclaimed boutiques, cafés, and transit.",None
SF284055,"3888 Vallejo St #3A, San Francisco, CA",1675000,2,2.0,1250,Condo,Mid-Century Modern,Pacific Heights,San Francisco Unified School District,McKinley Elementary,Marina Middle School,George Washington High School,"Welcome to unit #15A — a naturally lit 2BD/2.0BA residence in one of Pacific Heights's most desirable buildings. At 1,250 sq ft, this mid-century modern condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and polished concrete floors. Amenities include a rooftop terrace and club room. Washer/dryer hookups, 1-car garage. Enjoy breathtaking golden gate views from the living areas and primary suite.",Golden Gate View
SF906035,"91 San Bruno Ave, San Francisco, CA",2025000,5,5.0,3500,Single Family,Spanish Colonial,Portola,San Francisco Unified School District,Longfellow Elementary,Aptos Middle School,John O'Connell High School,"Welcome to this stunning Spanish Colonial home nestled in the heart of Portola. This luminous 5-bedroom, 5.0-bath residence offers 3,500 sq ft of thoughtfully designed living space soaking in garden views. The gourmet kitchen with waterfall island and wine refrigerator anchors the main floor, opening to an expansive yard. Original architectural details — including original fireplace mantel and picture rails — have been lovingly preserved. Luminous primary suite with spa bath. Washer/dryer hookups and EV-ready garage complete the package. Enjoy breathtaking garden views from the living areas and primary suite. Steps from Portola's farmers market and boutiques.",Garden View
SF144622,"2576 De Haro St, San Francisco, CA",1500000,5,5.5,2850,Single Family,Modern Farmhouse,Potrero Hill,San Francisco Unified School District,Bryant Elementary,James Lick Middle School,Mission High School,"Rare opportunity to own a meticulously restored Modern Farmhouse in Potrero Hill. This 5-bed, 5.5-bath home (2,850 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to an expansive yard, ideal for entertaining. Upstairs, the bright and airy primary bedroom features vaulted ceilings. Original fir floors throughout. Deeded parking and dedicated laundry room. Enjoy breathtaking bay views from the living areas and primary suite. Potrero Hill is celebrated for sunny micro-climate hill with artsy studios and city skyline views — this home delivers it all.",Bay View
SF574291,"3655 20th St #13C, San Francisco, CA",1225000,0,1.0,900,Condo,Loft,Dogpatch,San Francisco Unified School District,Daniel Webster Elementary,Hoover Middle School,City Arts & Tech High School,"Sophisticated 0BD/1.0BA loft condo in the heart of Dogpatch. This luminous 900 sq ft residence features updated kitchen with gas range and subway tile backsplash, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. Washer/dryer hookups, 1-car parking, and a rooftop terrace round out this exceptional offering. Walk to Dogpatch's best dining and boutiques.",None
SF323359,"1396 Shrader St, San Francisco, CA",1525000,1,2.0,1100,Condo,Modern,Cole Valley,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Abraham Lincoln High School,"Welcome to unit #3B — a light-filled 1BD/2.0BA residence in one of Cole Valley's most desirable buildings. At 1,100 sq ft, this modern condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and heated tile floors. Amenities include bike storage and package room. In-unit laundry closet, 2-car garage.",None
SF804393,"2566 Carl St #13A, San Francisco, CA",1700000,2,3.0,1500,Single Family,Contemporary,Cole Valley,San Francisco Unified School District,Grattan Elementary,Aptos Middle School,Galileo High School,"Exceptional Contemporary 2BD/3.0BA in coveted Cole Valley. Spanning 1,500 sq ft, this sun-drenched home features updated kitchen with gas range and subway tile backsplash, gleaming hardwood floors, and a sunny deck. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit laundry closet, EV-ready garage, formal dining room, and a gas fireplace for cool SF evenings. Situated on a sunny corner lot in Cole Valley — small, walkable village between the Haight and Inner Sunset.",None
SF791442,"1249 Macondray Lane, San Francisco, CA",1925000,1,2.0,450,Condo,Contemporary,Russian Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,George Washington High School,"Sophisticated 1BD/2.0BA contemporary condo in the heart of Russian Hill. This naturally lit 450 sq ft residence features updated kitchen with gas range and subway tile backsplash, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. Dedicated laundry room, EV-ready garage, and an expansive yard round out this exceptional offering. Enjoy breathtaking golden gate views from the living areas and primary suite. Walk to Russian Hill's parks, cafés, and transit.",Golden Gate View
SF285710,"2971 Columbus Ave #26B, San Francisco, CA",775000,2,2.0,650,Condo,Art Deco,North Beach,San Francisco Unified School District,Garfield Elementary,Marina Middle School,Galileo High School,"Modern living in the vibrant North Beach neighborhood. This sleek 2BD/2.0BA art deco condo (650 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a sunny deck. Light-filled throughout with oversized windows flooding rooms with natural light. Building features concierge, fitness center, and guest suite. Washer/dryer hookups and 1-car parking included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF809004,"730 California St, San Francisco, CA",725000,2,2.0,1500,Condo,Contemporary,Nob Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,Galileo High School,"Modern living in the vibrant Nob Hill neighborhood. This sleek 2BD/2.0BA contemporary condo (1,500 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a rooftop terrace. Light-filled throughout with double-pane windows for sound insulation. Building features secure entry, elevator, and bike room. Washer/dryer hookups and 2-car garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF567593,"3939 Bowdoin St #9B, San Francisco, CA",1125000,1,2.0,1200,Condo,Modern,Portola,San Francisco Unified School District,Longfellow Elementary,Aptos Middle School,John O'Connell High School,"Modern living in the vibrant Portola neighborhood. This sleek 1BD/2.0BA modern condo (1,200 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a landscaped patio. Naturally lit throughout with oversized windows flooding rooms with natural light. Building features gym, rooftop, and storage. Dedicated laundry room and deeded parking included. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF256640,"3884 Belvedere St #4, San Francisco, CA",925000,2,3.0,800,Condo,Contemporary,Cole Valley,San Francisco Unified School District,Grattan Elementary,Aptos Middle School,Galileo High School,"Welcome to unit #15B — a light-filled 2BD/3.0BA residence in one of Cole Valley's most desirable buildings. At 800 sq ft, this contemporary condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include a rooftop lounge. In-unit laundry closet, 2-car garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF942658,"2592 Connecticut St #20C, San Francisco, CA",900000,0,1.0,1750,Condo,High-Rise,Potrero Hill,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,Mission High School,"Sophisticated 0BD/1.0BA high-rise condo in the heart of Potrero Hill. This bright and airy 1,750 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. Washer/dryer hookups, EV-ready garage, and a charming Juliet balcony round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Potrero Hill's Michelin-starred restaurants and nightlife.",City View
